marker_offset_hex,tag,next_marker_hex,span_len,clear_count,path_count,first_path_or_clear
0x17b4,l,0x17e0,44,0,0,
0x17e0,o,0x1810,48,0,0,
0x1810,o,0x1832,34,0,0,
0x1832,n,0x185c,42,0,0,
0x185c,n,0x1881,37,0,0,
0x1881,n,0x18aa,41,0,0,
0x18aa,n,0x18dc,50,1,1,VEHICLES\MOONBUGGY\WHEEL.PSM
0x18dc,n,0x1909,45,0,0,
0x1909,n,0x1954,75,1,1,1.CFL
0x1954,n,0x19a4,80,0,0,
0x19a4,n,0x19ce,42,0,0,
0x19ce,o,0x19f0,34,0,0,
0x19f0,n,0x1a09,25,0,0,
0x1a09,n,0x1a4b,66,0,0,
0x1a4b,n,0x1a6d,34,0,0,
0x1a6d,n,0x1a92,37,0,0,
0x1a92,n,0x1ad0,62,0,0,
0x1ad0,n,0x1b22,82,0,0,
0x1b22,n,0x1b43,33,0,0,
0x1b43,l,0x1b67,36,0,0,
0x1b67,n,0x1bef,136,0,0,
0x1bef,n,0x1c18,41,0,0,
0x1c18,n,0x1c3c,36,0,0,
0x1c3c,n,0x1c5c,32,0,0,
0x1c5c,l,0x1c82,38,0,0,
0x1c82,n,0x1c9f,29,0,0,
0x1c9f,o,0x1d1f,128,1,0,F|On
0x1d1f,n,0x1d41,34,0,0,
0x1d41,n,0x1d64,35,0,0,
0x1d64,n,0x1d7d,25,0,0,
0x1d7d,n,0x1d9d,32,0,0,
0x1d9d,n,0x1dc9,44,1,0,4yAi>
0x1dc9,n,0x1de5,28,0,0,
0x1de5,n,0x1dff,26,0,0,
0x1dff,n,0x1e1d,30,0,0,
0x1e1d,l,0x1e5f,66,0,0,
0x1e5f,n,0x1e75,22,0,0,
0x1e75,l,0x1e97,34,0,0,
0x1e97,n,0x1eb4,29,1,1,.PSB
0x1eb4,o,0x1ecf,27,1,0,3m)4%
0x1ecf,n,0x1f11,66,0,0,
0x1f11,n,0x1f32,33,0,0,
0x1f32,n,0x1f4c,26,0,0,
0x1f4c,n,0x1f6d,33,0,0,
0x1f6d,n,0x1f8c,31,0,0,
0x1f8c,n,0x1fa8,28,0,0,
0x1fa8,n,0x201a,114,0,0,
0x201a,n,0x203c,34,0,0,
0x203c,l,0x205b,31,0,0,
0x205b,n,0x2081,38,0,0,
0x2081,n,0x20db,90,2,1,W.XML
0x20db,n,0x20ff,36,0,0,
0x20ff,n,0x211c,29,0,0,
0x211c,n,0x2136,26,0,0,
0x2136,l,0x2153,29,0,0,
0x2153,n,0x218a,55,2,2,_S4.BSP
0x218a,n,0x21a7,29,0,0,
0x21a7,n,0x21c1,26,0,0,
0x21c1,n,0x21dc,27,0,0,
0x21dc,l,0x2287,171,0,0,
0x2287,n,0x22dd,86,0,0,
0x22dd,n,0x2316,57,1,0,ANIMALS
0x2316,n,0x2332,28,0,0,
0x2332,n,0x2398,102,1,1,"=,\Dn"
0x2398,n,0x23b7,31,0,0,
0x23b7,n,0x23d4,29,0,0,
0x23d4,n,0x2412,62,0,0,
0x2412,n,0x2431,31,0,0,
0x2431,n,0x244f,30,0,0,
0x244f,n,0x2465,22,0,0,
0x2465,n,0x2481,28,0,0,
0x2481,n,0x24c8,71,0,0,
0x24c8,l,0x24ec,36,1,1,CARS\'$
0x24ec,n,0x2505,25,0,0,
0x2505,l,0x252d,40,1,0,"UBPELKA"""
0x252d,n,0x2562,53,1,0,"F"",Dn"
0x2562,n,0x25ab,73,0,0,
0x25ab,n,0x25f1,70,0,0,
0x25f1,n,0x260d,28,0,0,
